date,jour,heure,salle,lieu,cours,statut,places_restantes,capacite,presents,locked,finie,releve
2026-05-29,Vendredi,13:30,The Hot Room,,Semi - private reformer Jessika,disponible,,,,True,,2026-05-29 13:26
2026-05-29,Vendredi,13:30,The Reformer Room,,Semi - private reformer Jessika,disponible,,,,True,,2026-05-29 13:26
2026-05-29,Vendredi,15:30,The Hot Room,,Full Body On Fire Rikash,disponible,,,,True,,2026-05-29 13:26
2026-05-29,Vendredi,16:30,The Hot Room,,Burning Flow Louise,disponible,,,,True,,2026-05-29 13:26
2026-05-29,Vendredi,17:30,The Hot Room,,Burning Flow Louise,disponible,,,,True,,2026-05-29 13:26
2026-05-29,Vendredi,18:00,The Hot Room,,Semi - private reformer Margaux,disponible,,,,True,,2026-05-29 13:26
2026-05-29,Vendredi,18:30,The Hot Room,,Burning Core Shape Ana In English,disponible,,,,True,,2026-05-29 18:26
2026-05-29,Vendredi,19:00,The Hot Room,,Semi - private reformer Margaux,disponible,,,,True,,2026-05-29 13:26
2026-05-29,Vendredi,19:00,The Reformer Room,,Semi - private reformer Margaux,disponible,,,,True,,2026-05-29 18:26
2026-05-29,Vendredi,19:30,The Hot Room,,Burning Core Shape Ana In English,disponible,,,,True,,2026-05-29 18:26
2026-05-30,Samedi,11:00,The Hot Room,,Burning Barre Golda,complet,0,,,True,,2026-05-30 08:52
2026-05-30,Samedi,12:00,The Hot Room,,Burning Barre Golda,disponible,,,,True,,2026-05-30 11:24
2026-05-30,Samedi,13:00,The Hot Room,,Burning Core Shape LauraN,disponible,,,,True,,2026-05-30 11:24
2026-05-30,Samedi,16:00,The Hot Room,,Burning Core Shape Carla,disponible,,,,True,,2026-05-30 14:47
2026-05-30,Samedi,17:00,The Hot Room,,Burning Core Shape Carla,disponible,,,,True,,2026-05-30 16:45
2026-05-30,Samedi,18:00,The Hot Room,,Full Body On Fire Nabil,disponible,,,,True,,2026-05-30 16:45
2026-05-30,Samedi,19:00,The Hot Room,,Full Body On Fire Nabil,disponible,,,,True,,2026-05-30 16:45
2026-05-31,Dimanche,09:45,The Hot Room,,Semi - private reformer Kelly • Reformer,complet,0,,,True,,2026-05-31 00:33
2026-05-31,Dimanche,09:45,The Reformer Room,,Semi - private reformer Kelly • Reformer,complet,0,,,True,,2026-05-31 00:33
2026-05-31,Dimanche,10:00,The Hot Room,,Burning Flow Marine,presque complet,1,,,True,,2026-05-31 09:50
2026-05-31,Dimanche,10:45,The Hot Room,,Semi - private reformer Kelly • Reformer,disponible,,,,True,,2026-05-31 09:50
2026-05-31,Dimanche,10:45,The Reformer Room,,Semi - private reformer Kelly • Reformer,complet,0,,,True,,2026-05-31 00:33
2026-05-31,Dimanche,11:00,The Hot Room,,Burning Flow Marine,disponible,,,,True,,2026-05-31 00:33
2026-05-31,Dimanche,12:15,The Hot Room,,Burning Barre Golda,disponible,,,,True,,2026-05-31 09:50
2026-05-31,Dimanche,13:15,The Hot Room,,Burning Barre Golda,disponible,,,,True,,2026-05-31 12:22
2026-05-31,Dimanche,16:00,The Hot Room,,Full Body On Fire Nathanael,disponible,,,,True,,2026-05-31 14:00
2026-05-31,Dimanche,17:00,The Hot Room,,Full Body On Fire Nathanael,disponible,,,,True,,2026-05-31 16:08
2026-05-31,Dimanche,18:00,The Hot Room,,Burning Core Shape Soukaïna,disponible,,,,True,,2026-05-31 17:52
2026-05-31,Dimanche,19:00,The Hot Room,,Burning Core Shape Soukaïna,disponible,,,,True,,2026-05-31 14:00
2026-05-31,Dimanche,20:00,The Hot Room,,Burning Flow Félicie,complet,0,,,True,,2026-05-31 17:52
2026-06-01,Lundi,12:15,The Hot Room,,Burning Core Shape Capucine,disponible,,,,True,,2026-06-01 11:32
2026-06-01,Lundi,16:30,The Hot Room,,Full Body On Fire Marguerite,disponible,,,,True,,2026-06-01 11:32
2026-06-01,Lundi,17:30,The Hot Room,,Full Body On Fire Marguerite,disponible,,,,True,,2026-06-01 11:32
2026-06-01,Lundi,18:30,The Hot Room,,Burning Barre Alana,disponible,,,,True,,2026-06-01 18:13
2026-06-01,Lundi,19:00,The Hot Room,,Semi - private reformer Sarah • Reformer,disponible,,,,True,,2026-06-01 18:13
2026-06-01,Lundi,19:00,The Reformer Room,,Semi - private reformer Sarah • Reformer,disponible,,,,True,,2026-06-01 18:13
2026-06-01,Lundi,19:30,The Hot Room,,Burning Barre Alana,complet,0,,,True,,2026-06-01 18:13
2026-06-01,Lundi,20:30,The Hot Room,,Full Body On Fire Jeremie,complet,0,,,True,,2026-06-01 11:32
2026-06-01,Lundi,21:30,The Hot Room,,Full Body On Fire Jeremie,complet,0,,,True,,2026-06-01 18:13
2026-06-02,Mardi,07:00,The Hot Room,,Full Body On Fire Sirine,presque complet,1,,,True,,2026-06-02 01:05
2026-06-02,Mardi,08:00,The Hot Room,,Full Body On Fire Sirine,presque complet,1,,,True,,2026-06-02 01:05
