date,jour,heure,fin,lieu,cours,coach,capacite,presents,finie,releve
2026-08-11,Mardi,07:45,08:45,Peloton,Peloton,STORM  ,8,0,True,2026-08-13 07:33
2026-08-11,Mardi,07:45,08:45,Échappée,ÉCHAPPÉE,STORM  ,6,0,True,2026-08-13 07:33
2026-08-11,Mardi,09:00,10:00,Peloton,Peloton,STORM ,8,0,True,2026-08-13 07:33
2026-08-11,Mardi,09:00,10:00,Échappée,ÉCHAPPÉE,STORM  ,6,0,True,2026-08-13 07:33
2026-08-11,Mardi,12:30,13:30,Peloton,Peloton,STORM  ,8,0,True,2026-08-13 07:33
2026-08-11,Mardi,12:30,13:30,Échappée,ÉCHAPPÉE,STORM  ,6,0,True,2026-08-13 07:33
2026-08-11,Mardi,18:00,19:00,Peloton,Peloton,STORM  ,8,0,True,2026-08-13 07:33
2026-08-11,Mardi,18:00,19:00,Échappée,ÉCHAPPÉE,STORM  ,6,0,True,2026-08-13 07:33
2026-08-11,Mardi,19:30,20:30,Peloton,Peloton,STORM ,8,0,True,2026-08-13 07:33
2026-08-11,Mardi,19:30,20:30,Échappée,ÉCHAPPÉE,STORM ,6,0,True,2026-08-13 07:33
2026-08-12,Mercredi,10:30,11:30,Peloton,Peloton,STORM  ,8,0,True,2026-08-13 07:33
2026-08-12,Mercredi,10:30,11:30,Échappée,ÉCHAPPÉE,STORM  ,6,0,True,2026-08-13 07:33
2026-08-12,Mercredi,11:30,12:30,Peloton,Peloton,STORM ,8,0,True,2026-08-13 07:33
2026-08-12,Mercredi,11:30,12:30,Échappée,ÉCHAPPÉE,STORM  ,6,0,True,2026-08-13 07:33
2026-08-12,Mercredi,12:30,13:30,Peloton,Peloton,STORM  ,8,0,True,2026-08-13 07:33
2026-08-12,Mercredi,12:30,13:30,Échappée,ÉCHAPPÉE,STORM  ,6,0,True,2026-08-13 07:33
2026-08-12,Mercredi,18:00,19:00,Peloton,Peloton,STORM  ,8,0,True,2026-08-13 07:33
2026-08-12,Mercredi,18:00,19:00,Échappée,ÉCHAPPÉE,STORM  ,6,0,True,2026-08-13 07:33
2026-08-12,Mercredi,19:15,20:15,Échappée,ÉCHAPPÉE,STORM ,6,0,True,2026-08-13 07:33
2026-08-12,Mercredi,19:30,20:30,Peloton,Peloton,STORM ,8,0,True,2026-08-13 07:33
2026-08-13,Jeudi,08:00,09:00,Peloton,Peloton,STORM  ,8,0,False,2026-08-13 07:33
2026-08-13,Jeudi,08:00,09:00,Échappée,ÉCHAPPÉE,STORM ,6,0,False,2026-08-13 07:33
2026-08-13,Jeudi,09:15,10:15,Peloton,Peloton,STORM ,8,0,False,2026-08-13 07:33
2026-08-13,Jeudi,09:15,10:15,Échappée,ÉCHAPPÉE,STORM  ,6,0,False,2026-08-13 07:33
2026-08-13,Jeudi,12:30,13:30,Peloton,Peloton,STORM  ,8,0,False,2026-08-13 07:33
2026-08-13,Jeudi,12:30,13:30,Échappée,ÉCHAPPÉE,STORM  ,6,0,False,2026-08-13 07:33
2026-08-13,Jeudi,18:00,19:00,Peloton,Peloton,STORM  ,8,0,False,2026-08-13 07:33
2026-08-13,Jeudi,18:00,19:00,Échappée,ÉCHAPPÉE,STORM  ,6,0,False,2026-08-13 07:33
2026-08-13,Jeudi,19:00,20:00,Peloton,Peloton,STORM  ,8,0,False,2026-08-13 07:33
2026-08-13,Jeudi,19:00,20:00,Échappée,ÉCHAPPÉE,STORM  ,6,0,False,2026-08-13 07:33
2026-08-14,Vendredi,07:30,08:30,Peloton,Peloton,STORM ,8,0,False,2026-08-13 07:33
2026-08-14,Vendredi,07:30,08:30,Échappée,ÉCHAPPÉE,STORM ,6,0,False,2026-08-13 07:33
2026-08-14,Vendredi,09:00,10:00,Peloton,Peloton,STORM ,8,0,False,2026-08-13 07:33
2026-08-14,Vendredi,09:00,10:00,Échappée,ÉCHAPPÉE,STORM  ,6,0,False,2026-08-13 07:33
2026-08-14,Vendredi,11:15,12:15,Peloton,Peloton,STORM  ,8,0,False,2026-08-13 07:33
2026-08-14,Vendredi,11:15,12:15,Échappée,ÉCHAPPÉE,STORM  ,6,0,False,2026-08-13 07:33
2026-08-14,Vendredi,12:30,13:30,Peloton,Peloton,STORM  ,8,0,False,2026-08-13 07:33
2026-08-14,Vendredi,12:30,13:30,Échappée,ÉCHAPPÉE,STORM  ,6,0,False,2026-08-13 07:33
2026-08-15,Samedi,10:00,11:00,Peloton,Peloton,STORM ,8,0,False,2026-08-13 07:33
2026-08-15,Samedi,10:00,11:00,Échappée,ÉCHAPPÉE,STORM  ,6,0,False,2026-08-13 07:33
2026-08-15,Samedi,11:30,12:30,Peloton,Peloton,STORM ,8,0,False,2026-08-13 07:33
2026-08-15,Samedi,11:30,12:30,Échappée,ÉCHAPPÉE,STORM ,6,0,False,2026-08-13 07:33
2026-08-15,Samedi,13:30,14:30,Peloton,Peloton,STORM ,8,0,False,2026-08-13 07:33
2026-08-15,Samedi,13:30,14:30,Échappée,ÉCHAPPÉE,STORM  ,6,0,False,2026-08-13 07:33
2026-08-15,Samedi,15:30,16:30,Peloton,Peloton,STORM  ,8,0,False,2026-08-13 07:33
2026-08-15,Samedi,15:30,16:30,Échappée,ÉCHAPPÉE,STORM  ,4,0,False,2026-08-13 07:33
